Name,Chembl Id,Smiles,Nps,Antioxidant,Anti Inflammatory,Mitochondrial,Aggregation,Cognitive,Neurogenesis,Synaptic,Bbb,Source,Compound Type,Alzheimers,Parkinsons,Als,Huntingtons
PRAMIPEXOLE,CHEMBL3143955,CCCN[C@H]1CCc2nc(N)sc2C1.Cl.Cl,58.6,31.86,65.0,75.0,52.0,54.0,44.0,47.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
ALEPLASININ,CHEMBL325424,Cc1cccc(-c2ccc3c(c2)c(C(=O)C(=O)O)cn3Cc2ccc(C(C)(C)C)cc2)c1,67.0,24.76,73.0,65.0,59.0,80.0,55.0,67.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
POZANICLINE,CHEMBL2105650,Cc1ncccc1OC[C@@H]1CCCN1.O=C(O)C(O)C(O)C(=O)O,66.7,37.95,71.0,64.0,54.0,80.0,56.0,70.0,High,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
QUINIDINE,CHEMBL1200437,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,58.7,41.99,61.0,74.0,56.0,54.0,47.0,53.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
SARACATINIB,CHEMBL4438584,CN1CCN(CCOc2cc3ncnc(Nc4c(Cl)ccc5c4OCO5)c3cc2OC2CCOCC2)CC1,67.3,39.08,75.0,63.0,58.0,79.0,56.0,68.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
PIMOZIDE,CHEMBL1423,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,54.3,33.6,62.0,70.0,55.0,53.0,38.0,41.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
MYCOPHENOLATE MOFETIL,CHEMBL1456,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,54.3,39.33,62.0,73.0,56.0,51.0,36.0,40.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
SEMAGACESTAT,CHEMBL4303339,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1C(=O)N(C)CCc2ccccc21,67.7,28.09,73.0,63.0,65.0,78.0,56.0,68.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
MEMANTINE HYDROCHLORIDE,CHEMBL1699,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl,58.3,38.98,63.0,74.0,56.0,54.0,45.0,47.0,High,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
PIOGLITAZONE HYDROCHLORIDE,CHEMBL1715,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1.Cl,58.6,38.49,59.0,74.0,55.0,57.0,46.0,53.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
AVAGACESTAT,CHEMBL1090771,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,68.6,36.94,74.0,65.0,58.0,79.0,58.0,75.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
SUVOREXANT,CHEMBL1083659,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,68.3,32.15,71.0,67.0,58.0,81.0,55.0,74.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
CARBIDOPA,CHEMBL1200748,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O.O,54.0,32.86,63.0,71.0,53.0,49.0,38.0,41.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
DEXTROMETHORPHAN HYDROBROMIDE,CHEMBL1256818,Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,58.3,51.41,62.0,74.0,54.0,55.0,45.0,51.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
FLORBETAPIR F 18,,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])nc2)cc1,68.1,32.04,75.0,62.0,62.0,79.0,56.0,70.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
VELUSETRAG,CHEMBL2087337,CC(C)n1c(=O)c(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C[C@@H](O)CN(C)S(C)(=O)=O)cc2ccccc21,67.6,45.68,70.0,66.0,58.0,80.0,57.0,69.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
ICOSAPENT ETHYL,CHEMBL2095209,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,66.6,33.29,69.0,64.0,58.0,75.0,62.0,68.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
UDENAFIL,CHEMBL2103849,CCCOc1ccc(S(=O)(=O)NCCC2CCCN2C)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1,68.7,55.63,74.0,62.0,63.0,78.0,58.0,71.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
CERLAPIRDINE,CHEMBL2105752,CN(C)CCCOc1ccc2[nH]nc(S(=O)(=O)c3cccc4ccccc34)c2c1.Cl,68.1,48.31,72.0,66.0,53.0,82.0,59.0,72.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
PRAMIPEXOLE DIHYDROCHLORIDE,CHEMBL3182733,CCCN[C@H]1CCc2nc(N)sc2C1.Cl.Cl.O,58.6,38.5,65.0,74.0,52.0,54.0,44.0,48.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
GEMFIBROZIL,CHEMBL457,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,66.6,24.41,72.0,63.0,58.0,80.0,55.0,71.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
ADENOSINE,CHEMBL606298,Nc1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,57.3,45.17,60.0,61.0,56.0,57.0,45.0,50.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
IDAZOXAN,CHEMBL543467,Cl.c1ccc2c(c1)OCC(C1=NCCN1)O2,67.7,68.57,72.0,63.0,58.0,79.0,57.0,70.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
BROMOCRIPTINE,CHEMBL1255752,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.Cl,69.1,63.05,74.0,66.0,60.0,81.0,57.0,71.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
FLUCONAZOLE,CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,65.6,25.23,68.0,63.0,54.0,79.0,57.0,71.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
ISOTRETINOIN,CHEMBL2107427,COc1ccc(C(=O)COC(=O)/C=C(C)\C=C\C=C(C)\C=C\C2=C(C)CCCC2(C)C)cc1,68.9,49.36,72.0,66.0,61.0,80.0,59.0,71.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
LORAZEPAM,CHEMBL580,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,66.6,23.23,70.0,67.0,53.0,79.0,60.0,66.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
ROPINIROLE,CHEMBL1200411,CCCN(CCC)CCc1cccc2c1CC(=O)N2.Cl,53.0,45.67,60.0,54.0,60.0,54.0,40.0,43.0,High,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
ESTRADIOL,CHEMBL1511,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,67.1,23.9,70.0,65.0,62.0,79.0,55.0,65.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
LAMIVUDINE,CHEMBL141,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,69.0,37.69,69.0,65.0,59.0,82.0,59.0,76.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
MEDROXYPROGESTERONE ACETATE,CHEMBL287148,CC(=O)O[C@]1(C(C)=O)CCC2C3C[C@H](C)C4=CC(=O)CCC4(C)C3CCC21C,66.4,26.46,68.0,66.0,60.0,78.0,58.0,67.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
"LIPOIC ACID, ALPHA",CHEMBL134342,O=C(O)CCCC[C@@H]1CCSS1,65.9,21.89,68.0,64.0,57.0,80.0,54.0,71.0,High,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
ITRACONAZOLE,CHEMBL5483033,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O.Cl,66.1,43.49,72.0,62.0,50.0,80.0,59.0,71.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
ACITRETIN,CHEMBL1131,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,66.4,47.0,69.0,65.0,62.0,78.0,55.0,66.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
LEVETIRACETAM,CHEMBL1286,CC[C@@H](C(N)=O)N1CCCC1=O,65.9,31.9,70.0,63.0,55.0,78.0,57.0,69.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
RIFAMPIN,CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,66.3,16.43,73.0,64.0,56.0,77.0,56.0,66.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
ATORVASTATIN CALCIUM,CHEMBL393220,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2],67.3,41.07,70.0,66.0,58.0,79.0,56.0,70.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
PRELADENANT,CHEMBL240624,COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,53.1,66.86,61.0,52.0,56.0,55.0,42.0,43.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,0,1,0,0
ARGININE,CHEMBL1200381,Cl.N=C(N)NCCC[C@H](N)C(=O)O,65.0,39.47,69.0,66.0,54.0,74.0,58.0,67.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
ESCITALOPRAM,CHEMBL1200322,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21.O=C(O)C(=O)O,67.6,39.59,70.0,63.0,56.0,82.0,60.0,72.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
NEFIRACETAM,CHEMBL260829,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,67.0,26.23,74.0,64.0,59.0,78.0,55.0,69.0,High,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
AMANTADINE HYDROCHLORIDE,CHEMBL1569,Cl.NC12CC3CC(CC(C3)C1)C2,57.6,33.46,64.0,63.0,56.0,55.0,45.0,51.0,High,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
RIFAXIMIN,CHEMBL1617,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,66.9,33.71,71.0,66.0,57.0,79.0,55.0,69.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
FOLIC ACID,CHEMBL1622,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,65.6,23.75,73.0,63.0,53.0,78.0,57.0,66.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
PROPRANOLOL HYDROCHLORIDE,CHEMBL1671,CC(C)NCC(O)COc1cccc2ccccc12.Cl,59.1,46.01,65.0,63.0,60.0,56.0,47.0,52.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
NILVADIPINE,CHEMBL517427,COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,65.9,20.29,69.0,63.0,53.0,78.0,57.0,67.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
HYDRALAZINE HYDROCHLORIDE,CHEMBL542541,Cl.NNc1nncc2ccccc12,67.3,23.79,71.0,64.0,55.0,78.0,58.0,71.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
DOXYCYCLINE,CHEMBL1256723,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl,67.4,52.78,69.0,64.0,56.0,81.0,56.0,74.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
OMEGA-3-ACID ETHYL ESTERS,CHEMBL1200711,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,67.1,32.42,70.0,63.0,58.0,76.0,62.0,69.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
NAPROXEN SODIUM,CHEMBL1200806,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+],66.7,29.09,69.0,62.0,67.0,76.0,54.0,67.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
ISOCARBOXAZID,CHEMBL1201168,Cc1cc(C(=O)NNCc2ccccc2)no1,66.0,26.43,69.0,64.0,56.0,78.0,59.0,65.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
MIFEPRISTONE,CHEMBL3188048,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,68.1,40.38,73.0,67.0,53.0,81.0,59.0,72.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
FLUDEOXYGLUCOSE F 18,CHEMBL2030434,OC[C@H]1OC(O)[C@H]([18F])[C@@H](O)[C@@H]1O,68.1,30.9,73.0,66.0,58.0,80.0,59.0,69.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
DROXIDOPA,CHEMBL2103827,N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1,54.6,28.29,65.0,53.0,57.0,55.0,41.0,43.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
BREXPIPRAZOLE,CHEMBL2105760,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,69.1,38.46,73.0,67.0,58.0,81.0,57.0,75.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
IOFLUPANE I 123,CHEMBL3989517,COC(=O)[C@H]1[C@@H](c2ccc([123I])cc2)C[C@@H]2CC[C@H]1N2CCCF,53.9,48.9,63.0,53.0,58.0,54.0,43.0,43.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
NICOTINE,CHEMBL3989563,CN1CCC[C@H]1c1cccnc1.O.O.O=C(O)C(O)C(O)C(=O)O.O=C(O)C(O)C(O)C(=O)O,57.3,44.86,62.0,59.0,56.0,59.0,47.0,51.0,High,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
FLUMAZENIL,CHEMBL5400970,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc([18F])ccc1-2,52.7,37.25,61.0,52.0,52.0,56.0,40.0,42.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
DIAZEPAM,CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,66.6,25.7,71.0,67.0,55.0,76.0,58.0,66.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
CLOZAPINE,CHEMBL1688,C[N+]1([O-])CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,66.7,30.16,71.0,65.0,50.0,81.0,60.0,68.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
LOVASTATIN,CHEMBL1201373,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,53.7,38.83,60.0,53.0,60.0,53.0,41.0,42.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
CARBAMAZEPINE,CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,65.7,26.89,69.0,66.0,54.0,77.0,55.0,67.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
ACETAMINOPHEN,CHEMBL1647,CC(=O)Nc1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1,53.3,35.31,65.0,52.0,53.0,54.0,40.0,43.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
BROMAZEPAM,CHEMBL277062,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,67.7,23.61,71.0,68.0,59.0,83.0,56.0,70.0,High,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
BROTIZOLAM,CHEMBL32479,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,65.7,28.54,67.0,67.0,52.0,79.0,57.0,66.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
PIRACETAM,CHEMBL36715,NC(=O)CN1CCCC1=O,68.7,25.14,73.0,66.0,57.0,81.0,61.0,70.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
BENPERIDOL,CHEMBL297302,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,67.9,59.29,71.0,65.0,61.0,78.0,57.0,71.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
SAFINAMIDE MESYLATE,CHEMBL48582,CS(=O)(=O)O.C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,52.1,29.86,60.0,52.0,54.0,51.0,40.0,43.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
ENTACAPONE,CHEMBL953,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,53.0,40.16,62.0,56.0,53.0,52.0,41.0,42.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
CHOLECALCIFEROL,CHEMBL1042,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,58.9,24.71,63.0,60.0,62.0,58.0,47.0,50.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
PREGABALIN,CHEMBL1059,CC(C)C[C@H](CN)CC(=O)O,65.0,27.69,68.0,63.0,55.0,75.0,57.0,72.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
CLOMETHIAZOLE,CHEMBL315795,Cc1ncsc1CCCl,67.1,33.1,69.0,67.0,55.0,79.0,64.0,69.0,High,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
BUDIPINE,CHEMBL334491,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,59.0,46.29,68.0,61.0,57.0,56.0,46.0,51.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,1,0,0
DOMPERIDONE,CHEMBL219916,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,59.3,43.0,65.0,64.0,59.0,58.0,47.0,51.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,0,1,0,0
SAFINAMIDE,CHEMBL396778,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,51.9,64.3,59.0,52.0,53.0,52.0,40.0,43.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
AMISULPRIDE,CHEMBL243712,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,65.9,55.62,70.0,62.0,54.0,78.0,56.0,71.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
GLUTATHIONE,CHEMBL2074781,N[C@@H](CCC(=O)C[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,53.0,43.01,61.0,53.0,56.0,56.0,40.0,43.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,0,1,0,0
MARAVIROC,CHEMBL256907,Cc1nnc(C(C)C)n1[C@H]1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,68.4,50.22,71.0,66.0,62.0,81.0,56.0,74.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
CHLORAL HYDRATE,CHEMBL455917,OC(O)C(Cl)(Cl)Cl,65.9,26.29,70.0,67.0,57.0,72.0,56.0,65.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
CLARITHROMYCIN,CHEMBL3937847,CC[C@@H]1OC(=O)[C@@H](C)[C@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)C(C)[C@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@@](C)(OC)C[C@H](C)C(=O)[C@@H](C)[C@H](O)[C@@]1(C)O,54.0,49.31,62.0,54.0,61.0,53.0,40.0,43.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
BENSERAZIDE,CHEMBL1096979,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,54.6,52.71,64.0,54.0,57.0,55.0,41.0,43.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,0,1,0,0
BROMOCRIPTINE MESYLATE,CHEMBL1200503,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O,54.3,73.5,64.0,56.0,60.0,53.0,40.0,41.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
FLUDROCORTISONE ACETATE,CHEMBL4303446,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3(F)[C@@H](O)C[C@@]21C,54.0,39.5,62.0,55.0,57.0,56.0,42.0,42.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
CABERGOLINE,CHEMBL1201087,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,54.1,55.0,63.0,56.0,59.0,54.0,42.0,42.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
MELEVODOPA,CHEMBL1328898,COC(=O)[C@@H](N)Cc1ccc(O)c(O)c1,53.3,23.71,62.0,52.0,54.0,55.0,42.0,43.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,1,0,0
DEXETIMIDE,CHEMBL1908364,O=C1CC[C@@](c2ccccc2)(C2CCN(Cc3ccccc3)CC2)C(=O)N1,58.9,38.5,65.0,62.0,59.0,56.0,48.0,50.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,0,1,0,0
PARDOPRUNOX,CHEMBL2103832,CN1CCN(c2cccc3[nH]c(=O)oc23)CC1,58.1,41.34,63.0,60.0,57.0,58.0,47.0,55.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,0,1,0,0
GLYCEROL PHENYLBUTYRATE,CHEMBL2105745,O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,55.3,35.57,65.0,54.0,57.0,55.0,41.0,45.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
TOZADENANT,CHEMBL2105747,COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,53.1,59.15,63.0,51.0,58.0,54.0,40.0,42.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,0,1,0,0
IPRATROPIUM BROMIDE,CHEMBL2134724,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.O.[Br-],54.0,43.9,61.0,54.0,62.0,54.0,42.0,43.0,High,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
ATROPINE SULFATE,CHEMBL1396281,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.O=S(=O)(O)O,53.1,49.71,59.0,54.0,61.0,54.0,41.0,42.0,High,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
NABILONE,CHEMBL2218896,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21,54.7,35.3,65.0,52.0,59.0,56.0,41.0,44.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,1,0,0
PHENYTOIN,CHEMBL1611,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+],68.6,30.06,73.0,64.0,63.0,76.0,58.0,69.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
SULPIRIDE,CHEMBL26,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,66.1,48.86,71.0,62.0,54.0,79.0,57.0,72.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,1,0,0,0
PHENOBARBITAL,CHEMBL149972,CCC1(c2ccccc2)C(=O)N=C([O-])NC1=O.[Na+],67.6,30.3,75.0,63.0,60.0,77.0,57.0,70.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
FLUOXETINE,CHEMBL1201082,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,68.4,24.64,73.0,65.0,66.0,78.0,59.0,66.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,1,0,0,0
