name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier,sample_weight,nps
VELUSETRAG,CC(C)n1c(=O)c(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C[C@@H](O)CN(C)S(C)(=O)=O)cc2ccccc21,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,73.0,70.0,66.0,58.0,80.0,57.0,69.0,gold_ml_predicted,0.9,68.8
ICOSAPENT ETHYL,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,69.0,64.0,58.0,75.0,62.0,68.0,gold_ml_predicted,0.9,67.2
UDENAFIL,CCCOc1ccc(S(=O)(=O)NCCC2CCCN2C)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,75.0,74.0,62.0,63.0,78.0,58.0,71.0,gold_ml_predicted,0.9,70.1
CERLAPIRDINE,CN(C)CCCOc1ccc2[nH]nc(S(=O)(=O)c3cccc4ccccc34)c2c1,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,73.0,72.0,66.0,53.0,82.0,59.0,72.0,gold_ml_predicted,0.9,69.1
PRAMIPEXOLE DIHYDROCHLORIDE,CCCN[C@H]1CCc2nc(N)sc2C1.Cl.Cl.O,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,73.0,65.0,74.0,52.0,54.0,44.0,48.0,gold_ml_predicted,0.9,61.9
GEMFIBROZIL,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,67.0,72.0,63.0,58.0,80.0,55.0,71.0,gold_ml_predicted,0.9,67.5
ADENOSINE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,72.0,60.0,61.0,56.0,57.0,45.0,50.0,gold_ml_predicted,0.9,59.9
IDAZOXAN,c1ccc2c(c1)OCC(C1=NCCN1)O2,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,75.0,72.0,63.0,58.0,79.0,57.0,70.0,gold_ml_predicted,0.9,69.1
BROMOCRIPTINE,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,75.0,74.0,66.0,60.0,81.0,57.0,71.0,gold_ml_predicted,0.9,70.6
FLUCONAZOLE,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,67.0,68.0,63.0,54.0,79.0,57.0,71.0,gold_ml_predicted,0.9,66.1
ISOTRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,72.0,66.0,61.0,80.0,59.0,71.0,gold_ml_predicted,0.9,69.9
LORAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,71.0,70.0,67.0,53.0,79.0,60.0,66.0,gold_ml_predicted,0.9,67.6
ROPINIROLE,CCCN(CCC)CCc1cccc2c1CC(=O)N2,High,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,60.0,60.0,54.0,60.0,54.0,40.0,43.0,gold_ml_predicted,0.9,55.6
ESTRADIOL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,70.0,65.0,62.0,79.0,55.0,65.0,gold_ml_predicted,0.9,68.9
LAMIVUDINE,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,69.0,65.0,59.0,82.0,59.0,76.0,gold_ml_predicted,0.9,69.5
MEDROXYPROGESTERONE ACETATE,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,68.0,68.0,66.0,60.0,78.0,58.0,67.0,gold_ml_predicted,0.9,67.2
ITRACONAZOLE,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,69.0,72.0,62.0,50.0,80.0,59.0,71.0,gold_ml_predicted,0.9,66.9
ACITRETIN,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,69.0,65.0,62.0,78.0,55.0,66.0,gold_ml_predicted,0.9,67.7
LEVETIRACETAM,CC[C@@H](C(N)=O)N1CCCC1=O,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,69.0,70.0,63.0,55.0,78.0,57.0,69.0,gold_ml_predicted,0.9,66.8
RIFAMPIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,73.0,64.0,56.0,77.0,56.0,66.0,gold_ml_predicted,0.9,67.9
ATORVASTATIN CALCIUM,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2],Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,70.0,66.0,58.0,79.0,56.0,70.0,gold_ml_predicted,0.9,68.4
PRELADENANT,COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,Low,Clinical Candidate,chembl_ml_predicted,0,2,0,0,63.0,61.0,52.0,56.0,55.0,42.0,43.0,gold_ml_predicted,0.9,55.9
ARGININE,N=C(N)NCCC[C@H](N)C(=O)O,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,67.0,69.0,66.0,54.0,74.0,58.0,67.0,gold_ml_predicted,0.9,65.8
ESCITALOPRAM,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,70.0,63.0,56.0,82.0,60.0,72.0,gold_ml_predicted,0.9,68.1
NEFIRACETAM,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,70.0,74.0,64.0,59.0,78.0,55.0,69.0,gold_ml_predicted,0.9,68.4
AMANTADINE HYDROCHLORIDE,Cl.NC12CC3CC(CC(C3)C1)C2,High,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,69.0,64.0,63.0,56.0,55.0,45.0,51.0,gold_ml_predicted,0.9,60.2
RIFAXIMIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,71.0,71.0,66.0,57.0,79.0,55.0,69.0,gold_ml_predicted,0.9,68.1
FOLIC ACID,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,69.0,73.0,63.0,53.0,78.0,57.0,66.0,gold_ml_predicted,0.9,66.9
PROPRANOLOL HYDROCHLORIDE,CC(C)NCC(O)COc1cccc2ccccc12.Cl,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,71.0,65.0,63.0,60.0,56.0,47.0,52.0,gold_ml_predicted,0.9,61.8
NILVADIPINE,COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,74.0,69.0,63.0,53.0,78.0,57.0,67.0,gold_ml_predicted,0.9,67.2
HYDRALAZINE HYDROCHLORIDE,Cl.NNc1nncc2ccccc12,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,71.0,64.0,55.0,78.0,58.0,71.0,gold_ml_predicted,0.9,68.4
DOXYCYCLINE,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,69.0,64.0,56.0,81.0,56.0,74.0,gold_ml_predicted,0.9,68.2
OMEGA-3-ACID ETHYL ESTERS,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,70.0,63.0,58.0,76.0,62.0,69.0,gold_ml_predicted,0.9,67.9
NAPROXEN SODIUM,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+],Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,69.0,62.0,67.0,76.0,54.0,67.0,gold_ml_predicted,0.9,68.1
ISOCARBOXAZID,Cc1cc(C(=O)NNCc2ccccc2)no1,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,71.0,69.0,64.0,56.0,78.0,59.0,65.0,gold_ml_predicted,0.9,67.1
MIFEPRISTONE,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,73.0,67.0,53.0,81.0,59.0,72.0,gold_ml_predicted,0.9,69.1
FLUDEOXYGLUCOSE F 18,OC[C@H]1OC(O)[C@H]([18F])[C@@H](O)[C@@H]1O,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,73.0,66.0,58.0,80.0,59.0,69.0,gold_ml_predicted,0.9,69.4
DROXIDOPA,N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,68.0,65.0,53.0,57.0,55.0,41.0,43.0,gold_ml_predicted,0.9,58.1
BREXPIPRAZOLE,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,73.0,67.0,58.0,81.0,57.0,75.0,gold_ml_predicted,0.9,70.1
IOFLUPANE I 123,COC(=O)[C@H]1[C@@H](c2ccc([123I])cc2)C[C@@H]2CC[C@H]1N2CCCF,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,63.0,63.0,53.0,58.0,54.0,43.0,43.0,gold_ml_predicted,0.9,56.7
NICOTINE,CN1CCC[C@H]1c1cccnc1,High,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,67.0,62.0,59.0,56.0,59.0,47.0,51.0,gold_ml_predicted,0.9,59.5
FLUMAZENIL,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,66.0,61.0,52.0,52.0,56.0,40.0,42.0,gold_ml_predicted,0.9,55.9
DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,71.0,67.0,55.0,76.0,58.0,66.0,gold_ml_predicted,0.9,68.0
CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,71.0,65.0,50.0,81.0,60.0,68.0,gold_ml_predicted,0.9,67.8
LOVASTATIN,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,67.0,60.0,53.0,60.0,53.0,41.0,42.0,gold_ml_predicted,0.9,56.9
CARBAMAZEPINE,NC(=O)N1c2ccccc2C=Cc2ccccc21,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,69.0,66.0,54.0,77.0,55.0,67.0,gold_ml_predicted,0.9,67.1
ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,66.0,65.0,52.0,53.0,54.0,40.0,43.0,gold_ml_predicted,0.9,56.7
BROMAZEPAM,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,67.0,71.0,68.0,59.0,83.0,56.0,70.0,gold_ml_predicted,0.9,68.6
BROTIZOLAM,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,67.0,67.0,52.0,79.0,57.0,66.0,gold_ml_predicted,0.9,66.9
PIRACETAM,NC(=O)CN1CCCC1=O,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,73.0,73.0,66.0,57.0,81.0,61.0,70.0,gold_ml_predicted,0.9,69.8
BENPERIDOL,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,72.0,71.0,65.0,61.0,78.0,57.0,71.0,gold_ml_predicted,0.9,68.9
SAFINAMIDE MESYLATE,CS(=O)(=O)O.C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,65.0,60.0,52.0,54.0,51.0,40.0,43.0,gold_ml_predicted,0.9,55.1
ENTACAPONE,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,65.0,62.0,56.0,53.0,52.0,41.0,42.0,gold_ml_predicted,0.9,56.1
CHOLECALCIFEROL,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,72.0,63.0,60.0,62.0,58.0,47.0,50.0,gold_ml_predicted,0.9,61.6
PREGABALIN,CC(C)C[C@H](CN)CC(=O)O,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,65.0,68.0,63.0,55.0,75.0,57.0,72.0,gold_ml_predicted,0.9,65.3
CLOMETHIAZOLE,Cc1ncsc1CCCl,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,67.0,69.0,67.0,55.0,79.0,64.0,69.0,gold_ml_predicted,0.9,67.4
BUDIPINE,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,Low-Med,Clinical Candidate,chembl_ml_predicted,0,2,0,0,74.0,68.0,61.0,57.0,56.0,46.0,51.0,gold_ml_predicted,0.9,62.2
DOMPERIDONE,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,Medium,Clinical Candidate,chembl_ml_predicted,0,2,0,0,71.0,65.0,64.0,59.0,58.0,47.0,51.0,gold_ml_predicted,0.9,62.0
SAFINAMIDE,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,64.0,59.0,52.0,53.0,52.0,40.0,43.0,gold_ml_predicted,0.9,54.7
AMISULPRIDE,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,70.0,62.0,54.0,78.0,56.0,71.0,gold_ml_predicted,0.9,66.8
GLUTATHIONE,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,Low,Clinical Candidate,chembl_ml_predicted,0,2,0,0,62.0,61.0,53.0,56.0,56.0,40.0,43.0,gold_ml_predicted,0.9,55.9
MARAVIROC,Cc1nnc(C(C)C)n1[C@H]1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,69.0,71.0,66.0,62.0,81.0,56.0,74.0,gold_ml_predicted,0.9,69.1
CHLORAL HYDRATE,OC(O)C(Cl)(Cl)Cl,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,74.0,70.0,67.0,57.0,72.0,56.0,65.0,gold_ml_predicted,0.9,67.5
CLARITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,65.0,62.0,54.0,61.0,53.0,40.0,43.0,gold_ml_predicted,0.9,57.1
BENSERAZIDE,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,Low,Clinical Candidate,chembl_ml_predicted,0,2,0,0,68.0,64.0,54.0,57.0,55.0,41.0,43.0,gold_ml_predicted,0.9,58.0
BROMOCRIPTINE MESYLATE,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,66.0,64.0,56.0,60.0,53.0,40.0,41.0,gold_ml_predicted,0.9,57.8
FLUDROCORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,64.0,62.0,55.0,57.0,56.0,42.0,42.0,gold_ml_predicted,0.9,57.0
CABERGOLINE,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,63.0,63.0,56.0,59.0,54.0,42.0,42.0,gold_ml_predicted,0.9,57.1
MELEVODOPA,COC(=O)[C@@H](N)Cc1ccc(O)c(O)c1,Low-Med,Clinical Candidate,chembl_ml_predicted,0,2,0,0,65.0,62.0,52.0,54.0,55.0,42.0,43.0,gold_ml_predicted,0.9,56.3
DEXETIMIDE,O=C1CC[C@@](c2ccccc2)(C2CCN(Cc3ccccc3)CC2)C(=O)N1,Medium,Clinical Candidate,chembl_ml_predicted,0,2,0,0,72.0,65.0,62.0,59.0,56.0,48.0,50.0,gold_ml_predicted,0.9,61.6
PARDOPRUNOX,CN1CCN(c2cccc3[nH]c(=O)oc23)CC1,Medium,Clinical Candidate,chembl_ml_predicted,0,2,0,0,67.0,63.0,60.0,57.0,58.0,47.0,55.0,gold_ml_predicted,0.9,60.1
GLYCEROL PHENYLBUTYRATE,O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,70.0,65.0,54.0,57.0,55.0,41.0,45.0,gold_ml_predicted,0.9,58.8
TOZADENANT,COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,Medium,Clinical Candidate,chembl_ml_predicted,0,2,0,0,64.0,63.0,51.0,58.0,54.0,40.0,42.0,gold_ml_predicted,0.9,56.4
IPRATROPIUM BROMIDE,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.O.[Br-],High,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,62.0,61.0,54.0,62.0,54.0,42.0,43.0,gold_ml_predicted,0.9,56.7
ATROPINE SULFATE,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.O=S(=O)(O)O,High,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,61.0,59.0,54.0,61.0,54.0,41.0,42.0,gold_ml_predicted,0.9,55.8
NABILONE,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,66.0,65.0,52.0,59.0,56.0,41.0,44.0,gold_ml_predicted,0.9,58.0
PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,77.0,73.0,64.0,63.0,76.0,58.0,69.0,gold_ml_predicted,0.9,70.2
SULPIRIDE,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,68.0,71.0,62.0,54.0,79.0,57.0,72.0,gold_ml_predicted,0.9,66.9
PHENOBARBITAL,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,71.0,75.0,63.0,60.0,77.0,57.0,70.0,gold_ml_predicted,0.9,68.9
FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,73.0,65.0,66.0,78.0,59.0,66.0,gold_ml_predicted,0.9,69.9
PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,75.0,73.0,64.0,58.0,78.0,58.0,70.0,gold_ml_predicted,0.9,69.4
SERTINDOLE,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,72.0,65.0,58.0,78.0,60.0,71.0,gold_ml_predicted,0.9,69.4
PERPHENAZINE,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,69.0,70.0,66.0,52.0,81.0,59.0,77.0,gold_ml_predicted,0.9,67.9
OXAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,71.0,68.0,53.0,79.0,61.0,66.0,gold_ml_predicted,0.9,68.5
LORMETAZEPAM,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,74.0,69.0,65.0,53.0,76.0,60.0,65.0,gold_ml_predicted,0.9,67.3
ZIDOVUDINE,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,71.0,63.0,62.0,78.0,56.0,68.0,gold_ml_predicted,0.9,68.9
TRIMIPRAMINE,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,70.0,64.0,56.0,79.0,57.0,69.0,gold_ml_predicted,0.9,67.4
MAPROTILINE,CNCCCC12CCC(c3ccccc31)c1ccccc12,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,69.0,64.0,58.0,80.0,59.0,70.0,gold_ml_predicted,0.9,67.9
LAMOTRIGINE,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,69.0,65.0,52.0,82.0,60.0,70.0,gold_ml_predicted,0.9,68.4
TADALAFIL,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,72.0,67.0,53.0,78.0,60.0,72.0,gold_ml_predicted,0.9,68.8
PIPAMPERONE,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,67.0,69.0,65.0,52.0,79.0,56.0,70.0,gold_ml_predicted,0.9,66.1
FLUSPIRILENE,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,70.0,71.0,66.0,60.0,78.0,55.0,70.0,gold_ml_predicted,0.9,68.3
GABAPENTIN,NCC1(CC(=O)O)CCCCC1,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,68.0,69.0,64.0,55.0,78.0,56.0,68.0,gold_ml_predicted,0.9,66.4
TIAPRIDE,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,74.0,75.0,63.0,58.0,79.0,56.0,71.0,gold_ml_predicted,0.9,69.6
OXCARBAZEPINE,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,75.0,71.0,64.0,54.0,77.0,60.0,64.0,gold_ml_predicted,0.9,68.0
MOCLOBEMIDE,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,High,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,71.0,61.0,58.0,78.0,55.0,70.0,gold_ml_predicted,0.9,67.3
ZOPICLONE,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,72.0,64.0,53.0,81.0,59.0,70.0,gold_ml_predicted,0.9,67.9
ROFLUMILAST,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,74.0,63.0,54.0,80.0,58.0,74.0,gold_ml_predicted,0.9,68.9
